,Frobenius,Correlation,site,seed,algorithm
34,1.6219679292468696,0.9365916997178853,TOP2,7,MICE
35,2.4914292131712235,0.7126969846085341,CNSR 1,8,MICE
36,4.452301944007363,0.4061575335625093,CNSR 2,8,MICE
37,2.2035175401662985,0.7000198089530495,CNSR 3,8,MICE
38,1.599753608818045,0.9503422746050212,TOP1,8,MICE
39,1.5926294509705576,0.9388985730954176,TOP2,8,MICE
40,2.463947447054088,0.7253973406959342,CNSR 1,9,MICE
41,4.347729845028844,0.4215736750846175,CNSR 2,9,MICE
42,2.37427168306738,0.635007067961385,CNSR 3,9,MICE
43,1.595605987767292,0.9521466177883232,TOP1,9,MICE
44,1.488613502843281,0.9496842070859924,TOP2,9,MICE
45,2.5972513626995486,0.6835836137036791,CNSR 1,10,MICE
46,4.612992190813092,0.3388979415079886,CNSR 2,10,MICE
47,2.157243921001359,0.7089503439536322,CNSR 3,10,MICE
48,1.5932923253596398,0.9483115532135816,TOP1,10,MICE
49,1.6051021212828886,0.939108171116956,TOP2,10,MICE
